"Austrian Store Configuration for Magento CE","Österreichische Shopkonfiguration für Magento CE"
"Partners - Austrian Store Configuration for Magento CE","Partner - Österreichische Shopkonfiguration für Magento CE"
"Dashboard - Austrian Store Configuration for Magento CE","Dashboard - Österreichische Shopkonfiguration für Magento CE"
"Suggestions - Austrian Store Configuration for Magento CE","Empfehlungen - Österreichische Shopkonfiguration für Magento CE"
"Magento AT","Magento AT"
"Help to improve Magento AT - data transfer","Mithilfe zur Verbesserung von Magento AT - Datenübertragung"
"Magento AT is a project from the community, for the community. The Austrian shop configuration for the Magento Community Edition has been created to make the entry to Magento as easy as possible. This project has been initiated by the Netresearch App Factory. The implementation is being lead by integer_net and their experienced developers, who integratet the best and most important extensions for the Austrian market together with the community.","Magento AT ist ein Projekt von der Community für die Community. Die Österreichische Shopkonfiguration für die Magento Community Edition wurde erstellt, um den Einstieg in Magento so einfach wie möglich zu gestalten. Initiiert wurde das Projekt von der Netresearch App Factory. Für den Lead der Umsetzung sind mit integer_net erfahrene und engagierte Entwickler im Boot, die gemeinsam mit der Community die wichtigsten und besten Exensions für die Anpassung an den Österreichischen Markt integriert haben."
"Your consent for transferring usage and contact details through Magento AT enables the developers and community partners to further distribute, develop, and continually improve Magento AT. This way, you and many other merchants can profit from an up-to-date and attractive Magento AT system plus frequent adaptions for the Austrian market.","Mit Ihrer Zustimmung der Übermittlung von Nutzungs- und Kontaktdaten durch Magento AT, können Sie Entwickler & Community-Partner aktiv dabei unterstützen, die Verbreitung von Magento AT zu verfolgen, die Installation weiterzuentwickeln und stetig zu verbessern. Somit profitieren auch Sie und vielen weitere Händler von einem aktuellen und attraktiven System Magento AT und regelmäßigen Anpassungen für den Österreichischen Markt."
"I want to help monitor the distribution of Magento AT and therefore agree on transmitting only the information necessary to accomplish this, thereby supporting the project.","Ich helfe mit, die Verbreitung von Magento AT zu beobachten und bin damit einverstanden, dass Daten zur reinen Überprüfung der Reichweite von Magento AT übertragen werden."
"I want to help monitor the distribution of Magento AT and also want to profit from exclusive offers from the NR App Factory and their partners.","Ich helfe mit, die Verbreitung von Magento AT zu beobachten und möchte von den exklusiven Vorteils-Angeboten der NR App Factory & Ihrer Partner profitieren."
"For your personal offers and information about Magento AT, please see the newsfeed of your system.","Ihre persönlichen Angebote und aktuelle Informationen rund um Magento AT entnehmen Sie bitte dem aktuellen Newsfeed Ihres Systems."
"I agree to help monitor the distribution of Magento AT and therefore agree on transmitting the information necessary to accomplish this, thereby supporting the project.","Ich erkläre mich damit einverstanden, dass Kontaktdaten zur Überprüfung der Reichweite von Magento AT übertragen werden und unterstütze somit aktiv das Projekt."
"<a href=""%s"" target=""_blank"">Magento AT</a> is a project of the Magento community powered by <a href=""%s"" target=""_blank"">Netresearch App Factory</a> &amp; <a href=""%s"" target=""_blank"">integer_net</a>","<a href=""%s"" target=""_blank"">Magento AT</a> ist ein Projekt der Magento Community powered by <a href=""%s"" target=""_blank"">Netresearch App Factory</a> &amp; <a href=""%s"" target=""_blank"">integer_net</a>"
